,Distinction,Name,Location,Price,Cuisine
588,1 Star,ernst,"Berlin, Germany",€€€€,Creative
589,1 Star,Pietsch,"Wernigerode, Germany",€€€€,Creative
590,1 Star,Traube,"Efringen-Kirchen, Germany",€€€€,Modern Cuisine
591,1 Star,Admiral,"Weisenheim am Berg, Germany",€€€€,Contemporary
592,1 Star,Ente,"Wiesbaden, Germany",€€€€,Creative
593,1 Star,Alte Überfahrt,"Werder, Germany",€€€€,Modern Cuisine
594,1 Star,Bagatelle,"Trier, Germany",€€€,French Contemporary
595,1 Star,Nobelhart & Schmutzig,"Berlin, Germany",€€€€,Creative
596,1 Star,OX,"Darmstadt, Germany",€€€€,Modern Cuisine
597,1 Star,Jan Diekjobst Restaurant,"Detmold, Germany",€€€,Seasonal Cuisine
598,1 Star,ROTER HAHN by Maximilian Schmidt,"Regensburg, Germany",€€€€,Modern Cuisine
599,1 Star,Speiseberg,"Halle (saale), Germany",€€€€,Modern Cuisine
600,1 Star,Le Frankenberg,"Weigenheim, Germany",€€€€,Creative
601,1 Star,Schote,"Essen, Germany",€€€€,Modern Cuisine
602,1 Star,Oettinger's Restaurant,"Fellbach, Germany",€€€€,Modern French
603,1 Star,Michaels Leitenberg,"Frasdorf, Germany",€€€€,Modern Cuisine
604,1 Star,Carmelo Greco,"Frankfurt on the Main, Germany",€€€,Italian
605,1 Star,Weinstock,"Volkach, Germany",€€€€,Creative
606,1 Star,Adler,"Lahr, Germany",€€€,Modern French
607,1 Star,maiBeck,"Cologne, Germany",€€,Modern Cuisine
608,1 Star,Zeik,"Hamburg, Germany",€€€€,Modern Cuisine
609,1 Star,Maltes hidden kitchen,"Baden-Baden, Germany",€€€€,Modern Cuisine
610,1 Star,Agata's,"Düsseldorf, Germany",€€€€,Creative
611,1 Star,1876 Daniel Dal-Ben,"Düsseldorf, Germany",€€€€,Creative
612,1 Star,Keidenzeller Hof,"Langenzenn, Germany",€€€€,Modern Cuisine
613,1 Star,Weinschänke Schloss Groenesteyn,"Kiedrich, Germany",€€€€,Modern Cuisine
614,1 Star,Malathounis,"Kernen im Remstal, Germany",€€€,Mediterranean Cuisine
615,1 Star,Camers Schlossrestaurant,"Hohenkammer, Germany",€€€€,Asian Influences
616,1 Star,Jean,"Eltville am Rhein, Germany",€€€,Classic French
617,1 Star,Nagaya,"Düsseldorf, Germany",€€€€,Japanese
618,1 Star,Verbene,"Koblenz, Germany",€€€€,Modern Cuisine
619,1 Star,bi:braud,"Ulm, Germany",€€€,Contemporary
620,1 Star,haebel,"Hamburg, Germany",€€€€,Modern Cuisine
621,1 Star,astrein,"Cologne, Germany",€€€€,Modern Cuisine
